Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.0","0.0","0.0","0.0","0.0","1.6","0.4","0.1","0.0","0.0","0.0"
Bayern,"0.0","0.0","2.3","4.1","6.1","0.3","4.8","3.2","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","0.0","8.5","12.4","3.5","7.1","4.3","0.1","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.0","0.1","0.1","0.0","0.6","2.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","0.7","1.9","0.1","1.2","0.1","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","0.0","2.4","1.7","0.6","0.4","0.0","0.0","0.1","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","0.0","0.0","0.1","0.8","0.6","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","0.0","1.3","0.3","0.3","1.0","0.0","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","14.1","22.3","0.8","0.1","0.6","0.0","0.1","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.0","0.1","2.6","0.4","2.0","0.8","0.0","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","0.0","0.0","0.3","1.1","0.1","0.7","0.0","0.0","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.0","2.3","4.3","10.2","2.4","8.6","7.8","0.1","0.0","0.1","0.0"
Neue Laender,"0.0","0.0","0.0","23.4","39.4","5.9","10.5","6.5","0.1","0.1","0.0","0.0"
Deutschland,"0.0","0.0","2.3","27.7","49.7","8.3","19.1","14.3","0.2","0.1","0.1","0.0"
