Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,1,"0,9",9,"1,1",0,"0,0",0,"0,0",3,"0,1",13,"2,0"
Bayern,5,"3,4",4,"1,1",20,"13,0",0,"0,0",4,"3,1",33,"20,7"
Berlin,4,"0,1",0,"0,0",0,"0,0",0,"0,0",5,"0,3",9,"0,4"
Brandenburg,34,"12,5",44,"8,9",14,"3,8",11,"1,4",105,"9,5",258,"36,0"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,3,"0,0",11,"1,5",0,"0,0",1,"0,0",6,"1,3",21,"2,9"
Mecklenburg-Vorpommern,7,"0,9",5,"0,8",0,"0,0",0,"0,0",14,"2,3",26,"4,0"
Niedersachsen,4,"0,1",7,"1,8",19,"2,3",4,"0,2",9,"0,7",43,"5,1"
Nordrhein-Westfalen,5,"0,2",6,"0,6",0,"0,0",0,"0,0",4,"0,7",15,"1,5"
Rheinland-Pfalz,18,"1,6",5,"1,1",2,"0,2",0,"0,0",0,"0,0",25,"2,9"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",1,"0,3",1,"0,3"
Sachsen,16,"11,2",3,"1,4",3,"10,5",2,"0,0",31,"14,9",60,"38,0"
Sachsen-Anhalt,9,"1,3",12,"0,5",0,"0,0",1,"0,0",46,"4,1",68,"5,9"
Schleswig-Holstein,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Thüringen,3,"1,0",2,"0,0",0,"0,0",1,"0,1",9,"1,0",15,"2,1"
Früheres Bundesgebiet,40,"6,2",42,"7,3",41,"15,5",5,"0,2",32,"6,5",160,"35,6"
Neue Länder,119,"27,0",71,"11,6",17,"14,3",15,"1,5",205,"31,8",427,"86,1"
Deutschland,159,"33,2",113,"18,9",58,"29,7",20,"1,7",237,"38,3",587,"121,7"
