Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,,,"13","2,0"
Bayern,,,"33","20,7"
Berlin,,,"9","0,4"
Brandenburg,,,"258","36,0"
Bremen,,,"0","0,0"
Hamburg,,,"0","0,0"
Hessen,,,"21","2,9"
Mecklenburg-Vorpommern,,,"26","4,0"
Niedersachsen,,,"43","5,1"
Nordrhein-Westfalen,,,"15","1,5"
Rheinland-Pfalz,,,"25","2,9"
Saarland,,,"1","0,3"
Sachsen,,,"60","38,0"
Sachsen-Anhalt,,,"68","5,9"
Schleswig-Holstein,,,"0","0,0"
Thüringen,,,"15","2,1"
Früheres Bundesgebiet,,,,
Neue Länder,,,,
Deutschland,,,,
