Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,4,10,9,2,0,4,3,1,0,0
Bayern,0,1,7,31,12,12,1,21,7,4,0,0
Berlin,0,4,2,7,9,25,5,13,0,0,3,1
Brandenburg,0,6,45,71,77,114,87,173,28,6,0,1
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,2,29,3,18,2,23,14,4,0,0
Mecklenburg-Vorpommern,0,0,24,26,3,10,9,37,8,5,0,0
Niedersachsen,0,0,3,16,9,28,2,19,12,1,0,0
Nordrhein-Westfalen,0,0,4,6,5,3,3,15,2,2,0,0
Rheinland-Pfalz,0,0,12,14,4,4,5,7,7,2,0,0
Saarland,0,0,0,9,1,1,4,1,1,2,0,0
Sachsen,0,0,4,6,2,7,1,11,2,0,3,0
Sachsen-Anhalt,0,2,6,22,7,29,29,43,13,4,0,0
Schleswig-Holstein,0,0,2,2,0,2,2,3,2,1,0,0
Thüringen,0,0,2,4,2,9,4,3,5,5,1,0
Früheres Bundesgebiet,0,5,36,124,52,95,24,106,48,17,3,1
Neue Länder,0,8,81,129,91,169,130,267,56,20,4,1
Deutschland,0,13,117,253,143,264,154,373,104,37,7,2
