Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Württemberg,"3.6","4.8",31,"8.4"
Bayern,"10.1","0.9",21,"11.0"
Berlin,"5.2","0.2",11,"5.4"
Brandenburg,"44.8","46.9",250,"91.7"
Bremen,"0.0","0.0",0,"0.0"
Hamburg,"0.0","0.0",0,"0.0"
Hessen,"1.1","1.3",28,"2.4"
Mecklenburg-Vorpommern,"4.8","3.1",40,"7.9"
Niedersachsen,"35.0","16.0",156,"50.9"
Nordrhein-Westfalen,"0.6","20.4",21,"20.9"
Rheinland-Pfalz,"3.5","3.4",25,"6.8"
Saarland,"0.0","0.0",0,"0.0"
Sachsen,"5.5","12.1",85,"17.6"
Sachsen-Anhalt,"7.7","28.6",78,"36.3"
Schleswig-Holstein,"0.0","0.0",0,"0.0"
Thüringen,"0.7","2.2",17,"2.8"
Frueheres Bundesgebiet,"59.0","46.9",293,"105.9"
Neue Laender,"63.5","92.8",470,"156.3"
Deutschland,"122.5","139.7",763,"262.1"
