Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,12,"5,2",13,"2,5",0,"0,0",0,"0,0",6,"0,6",31,"8,4"
Bayern,0,"0,0",11,"6,4",1,"0,9",3,"1,0",6,"2,7",21,"11,0"
Berlin,8,"5,4",2,"0,0",0,"0,0",0,"0,0",1,"0,0",11,"5,4"
Brandenburg,40,"8,7",86,"19,3",7,"30,1",16,"8,2",101,"25,4",250,"91,7"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,20,"1,9",3,"0,4",0,"0,0",1,"0,0",4,"0,1",28,"2,4"
Mecklenburg-Vorpommern,3,"0,1",7,"1,1",5,"0,9",3,"0,6",22,"5,2",40,"7,9"
Niedersachsen,6,"0,1",10,"1,8",6,"7,7",10,"1,3",124,"40,0",156,"50,9"
Nordrhein-Westfalen,0,"0,0",1,"0,3",4,"5,0",0,"0,0",16,"15,6",21,"20,9"
Rheinland-Pfalz,6,"1,0",8,"2,1",0,"0,0",0,"0,0",11,"3,8",25,"6,8"
Saarland,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Sachsen,3,"3,8",46,"6,1",1,"0,4",3,"0,0",32,"7,3",85,"17,6"
Sachsen-Anhalt,39,"7,4",9,"0,3",2,"23,5",5,"0,5",23,"4,6",78,"36,3"
Schleswig-Holstein,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Thüringen,3,"0,8",3,"0,6",0,"0,0",0,"0,0",11,"1,5",17,"2,8"
Früheres Bundesgebiet,52,"13,6",48,"13,5",11,"13,6",14,"2,3",168,"62,9",293,"105,9"
Neue Länder,88,"20,8",151,"27,3",15,"55,0",27,"9,2",189,"44,0",470,"156,3"
Deutschland,140,"34,3",199,"40,8",26,"68,6",41,"11,6",357,"106,9",763,"262,1"
