Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2006;winter;    -1.07;    -1.08;    -1.27;    -2.34;    -0.46;    -0.49;     0.80;     0.80;     1.00;     0.06;     0.78;     0.41;    -1.72;    -0.59;    -1.03;    -1.58;    -0.69;
2007;winter;     4.60;     4.59;     3.78;     3.07;     4.35;     4.56;     5.37;     5.38;     5.45;     4.62;     5.27;     4.82;     4.10;     4.93;     4.47;     3.88;     4.38;
2008;winter;     3.44;     3.43;     2.15;     1.44;     2.77;     3.59;     4.17;     4.17;     4.10;     3.12;     4.17;     3.28;     2.73;     3.60;     3.09;     2.46;     2.99;
2009;winter;    -0.02;    -0.03;    -0.94;    -1.62;    -0.52;     0.52;     1.07;     1.08;     0.86;     0.02;     1.41;     0.32;    -0.65;     0.13;    -0.39;    -1.04;    -0.20;
2010;winter;    -1.95;    -1.97;    -0.69;    -1.78;    -1.04;    -1.87;    -0.94;    -0.94;    -0.02;    -0.22;    -1.17;     0.28;    -2.16;    -1.81;    -1.97;    -2.17;    -1.28;
2011;winter;    -1.30;    -1.31;     0.00;    -1.41;    -0.31;    -1.14;     0.06;     0.06;     0.82;     0.52;    -0.61;     0.85;    -1.77;    -0.84;    -1.13;    -1.50;    -0.59;
2012;winter;     1.28;     1.27;     0.49;    -0.45;     1.15;     1.59;     2.39;     2.40;     2.45;     1.68;     2.22;     1.84;     0.19;     1.42;     0.89;     0.24;     1.10;
2013;winter;     0.07;     0.06;     0.16;    -0.64;     0.54;     0.17;     1.21;     1.21;     1.58;     0.98;     0.74;     1.19;    -0.63;     0.41;     0.07;    -0.38;     0.32;
2014;winter;     3.06;     3.05;     2.96;     2.04;     3.65;     3.06;     4.30;     4.30;     4.97;     4.03;     3.88;     4.16;     2.85;     3.52;     3.25;     2.91;     3.34;
2015;winter;     2.28;     2.27;     1.23;     0.63;     1.74;     2.29;     2.88;     2.89;     2.82;     1.94;     2.84;     2.02;     1.66;     2.34;     1.86;     1.23;     1.88;
2016;winter;     3.36;     3.35;     3.46;     2.58;     3.75;     3.19;     4.39;     4.39;     5.06;     4.35;     3.92;     4.48;     3.14;     3.74;     3.41;     2.98;     3.61;
2017;winter;     1.10;     1.09;     0.16;    -0.78;     0.83;     1.68;     2.29;     2.30;     2.56;     1.31;     2.65;     1.38;     0.28;     1.41;     0.86;     0.16;     0.97;
2018;winter;     1.69;     1.68;     1.30;     0.37;     1.60;     1.66;     2.27;     2.28;     2.56;     2.08;     2.18;     2.41;     0.98;     1.84;     1.39;     0.80;     1.52;
2019;winter;     3.24;     3.23;     2.07;     1.12;     2.70;     3.48;     4.13;     4.13;     4.06;     3.14;     4.03;     3.26;     2.19;     3.49;     2.92;     2.16;     2.83;
2020;winter;     4.67;     4.66;     3.56;     2.63;     3.88;     4.79;     5.28;     5.28;     5.20;     4.31;     5.34;     4.53;     3.91;     4.76;     4.24;     3.55;     4.17;
2021;winter;     1.46;     1.45;     1.86;     0.67;     1.78;     1.72;     2.66;     2.66;     3.28;     2.77;     2.50;     3.16;     1.03;     1.71;     1.33;     0.83;     1.81;
2022;winter;     3.34;     3.34;     2.71;     2.00;     3.31;     3.34;     4.39;     4.40;     4.50;     3.65;     4.18;     3.76;     2.72;     3.74;     3.28;     2.67;     3.28;
2023;winter;     2.90;     2.89;     2.53;     1.75;     2.91;     2.82;     3.79;     3.80;     4.01;     3.39;     3.63;     3.69;     2.38;     3.13;     2.73;     2.20;     2.88;
2024;winter;     3.93;     3.93;     3.92;     3.11;     4.09;     3.75;     4.82;     4.81;     5.23;     4.45;     4.18;     4.58;     3.64;     4.35;     3.99;     3.51;     4.04;
