Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,3,"0.1",12,"6.6",0,"0.0",0,"0.0",3,"0.9",18,"7.5"
Bayern,2,"0.4",13,"4.5",20,"37.8",1,"0.0",6,"0.5",42,"43.2"
Berlin,10,"2.5",6,"2.4",0,"0.0",0,"0.0",3,"0.4",19,"5.2"
Brandenburg,68,"13.2",113,"102.0",22,"209.0",16,"6.6",121,"34.2",340,"365.0"
Bremen,o,"0.0",0,"0.0",0,"0.0",0,"0.0",o,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,16,"0.5",0,"0.0",0,"0.0",0,"0.0",4,"1.2",20,"1.7"
Mecklenburg-Vorpommern,9,"7.2",16,"9.2",0,"0.0",1,"0.2",22,"16.1",48,"32.6"
Niedersachsen,21,"1.9",12,"1.2",12,"4.7",0,"0.0",84,"9.8",129,"17.6"
Nordrhein-Westfalen,0,"0.0",5,"0.9",1,"0.7",0,"0.0",12,"1.2",18,"2.8"
Rheinland-Pfalz,2,"0.1",9,"1.0",0,"0.0",0,"0.0",4,"0.2",15,"1.3"
Saarland,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Sachsen,21,"4.2",23,"4.7",2,"26.6",9,"4.1",14,"2.6",69,"42.2"
Sachsen-Anhalt,44,"5.6",11,"3.6",0,"0.0",5,"1.7",16,"1.3",76,"12.2"
Schleswig-Holstein,3,"5.2",1,"0.4",0,"0.0",0,"0.0",1,"0.3",5,"5.9"
Thüringen,1,"0.1",9,"0.8",1,"0.1",1,"0.1",7,"0.3",19,"1.3"
Früheres Bundesgebiet,57,"10.7",58,"17.0",33,"43.2",1,"0.0",117,"14.4",266,"85.2"
Neue Länder,143,"30.4",172,"120.2",25,"235.7",32,"12.6",180,"54.4",552,"453.3"
Deutschland,200,"41.1",230,"137.2",58,"278.9",33,"12.6",297,"68.8",818,"538.5"
