Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,3,0,3,9,0,3,0,0,0,0,0
Bayern,0,3,4,1,11,10,7,4,0,0,1,1
Berlin,0,0,1,2,5,6,4,1,0,0,0,0
Brandenburg,0,1,4,14,99,117,67,37,1,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,3,0,9,2,3,3,0,0,0,0
Mecklenburg-Vorpommern,0,0,0,1,10,25,8,4,0,0,0,0
Niedersachsen,2,0,4,3,29,50,22,15,2,2,0,0
Nordrhein-Westfalen,0,0,0,2,4,8,2,1,1,0,0,0
Rheinland-Pfalz,0,0,0,2,2,1,7,2,1,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,2,2,31,17,4,8,1,4,0,0
Sachsen-Anhalt,0,0,1,0,18,37,12,6,0,2,0,0
Schleswig-Holstein,0,0,0,0,2,2,0,1,0,0,0,0
Thueringen,0,0,0,0,1,3,7,6,2,0,0,0
Frueheres Bundesgebiet,2,6,12,13,71,79,48,27,4,2,1,1
Neue Laender,0,1,7,17,159,199,98,61,4,6,0,0
Deutschland,2,7,19,30,230,278,146,88,8,8,1,1
