Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,4,"0,7",24,"10,3",7,"2,0",1,"0,1",25,"9,2",61,"22,2"
Bayern,12,"8,4",26,"16,5",18,"170,0",1,"0,0",30,"7,9",87,"202,8"
Berlin,27,"29,7",4,"0,8",0,"0,0",0,"0,0",16,"13,0",47,"43,5"
Brandenburg,104,"66,3",145,"126,4",7,"51,2",5,"0,2",195,"90,5",456,"334,7"
Bremen,0,"0,0",0,"0,0",o,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,38,"19,6",43,"18,8",0,"0,0",0,"0,0",40,"18,9",121,"57,3"
Mecklenburg-Vorpommern,24,"5,1",40,"66,7",4,"19,2",3,"0,2",82,"52,2",153,"143,4"
Niedersachsen,45,"15,5",67,"97,6",65,"16,8",3,"0,1",83,"34,1",263,"164,1"
Nordrhein-Westfalen,27,"19,8",76,"40,4",12,"17,1",0,"0,0",76,"56,4",191,"133,6"
Rheinland-Pfalz,12,"4,9",26,"13,6",12,"19,5",1,"0,1",36,"16,6",87,"54,7"
Saarland,3,"1,4",7,"4,7",0,"0,0",0,"0,0",1,"6,1",11,"12,1"
Sachsen,13,"10,6",25,"60,1",1,"1,5",1,"0,1",32,"37,5",72,"109,8"
Sachsen-Anhalt,14,"17,5",51,"14,6",2,"0,1",1,"0,2",70,"42,6",138,"75,0"
Schleswig-Holstein,4,"1,5",10,"3,9",3,"1,5",0,"0,0",18,"10,4",35,"17,3"
Thüringen,7,"3,0",11,"2,5",2,"0,7",o,"0,0",6,"4,5",26,"10,8"
Früheres Bundesgebiet,172,"101,4",283,"206,5",117,"226,9",6,"0,3",325,"172,5",903,"707,7"
Neue Länder,162,"102,7",272,"270,3",16,"72,7",10,"0,7",385,"227,3",845,"673,6"
Deutschland,334,"204,1",555,"476,8",133,"299,6",16,"1,0",710,"399,9",1.748,"1.381,3"
