Land;Anzahl;Flaeche (ha)
Baden-Württemberg;61;22,2
Bayern;87;202,8
Berlin;47;43,5
Brandenburg;456;334,7
Bremen;0;0,0
Hamburg;0;0,0
Hessen;;
Mecklenburg-Vorpommern;153;143,4
Niedersachsen;263;164,1
Nordrhein-Westfalen;191;133,6
Rheinland-Pfalz;87;54,7
Saarland;11;12,1
Sachsen;72;109,8
Sachsen-Anhalt;138;75,0
Schleswig-Holstein;35;17,3
Thüringen;26;10,8
Besonderheiten;Hessen exkl;
