Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0.0","0.0","1.8","3.6","3.0","0.3","5.2","7.2","0.7","0.5","0.0","0.0"
Bayern,"0.4","0.5","2.5","195.1","1.9","2.4","0.0","0.0","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","5.7","36.4","0.0","0.0","1.4","0.0","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.1","62.1","230.3","8.5","14.3","7.6","10.5","1.1","0.3","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.2","2.7","50.7","1.1","1.7","0.3","0.6","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","3.0","115.5","9.4","7.0","1.3","6.8","0.4","0.0","0.0","0.0"
Niedersachsen,"0.0","0.6","3.3","115.4","26.7","7.0","3.6","6.2","1.3","0.0","0.0","0.0"
Nordrhein-Westfalen,"5.0","0.5","10.4","93.0","12.2","4.4","4.1","3.6","0.2","0.2","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","4.3","42.3","3.0","1.2","1.7","1.8","0.2","0.2","0.0","0.0"
Saarland,"0.0","0.0","4.4","0.7","0.0","0.0","7.1","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","23.7","78.0","1.0","2.8","0.1","4.2","0.0","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","3.3","58.7","2.3","5.2","0.5","4.8","0.1","0.0","0.1","0.0"
Schleswig-Holstein,"0.0","0.0","0.7","5.3","3.7","0.5","3.5","2.9","0.7","0.0","0.0","0.0"
Thuringen,"0.0","0.0","0.0","10.5","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
Fruheres Bundesgebiet,"5.4","1.8","35.8","542.4","51.5","17.5","26.8","22.3","3.1","0.9","0.0","0.0"
Neue Lander,"0.0","0.1","92.2","493.1","21.3","29.4","9.5","26.3","1.5","0.3","0.1","0.0"
Deutschland,"5.4","1.9","128.0","1035.6","72.8","46.9","36.3","48.6","4.6","1.2","0.1","0.0"
