Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,0,2,11,9,2,13,22,1,1,0,0
Bayern,2,2,10,46,9,13,2,1,1,1,0,0
Berlin,0,0,6,37,0,2,2,0,0,0,0,0
Brandenburg,1,1,27,244,26,76,33,40,7,1,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,1,9,75,3,14,6,12,1,0,0,0
Mecklenburg-Vorpommern,0,0,3,85,13,20,8,17,7,0,0,0
Niedersachsen,1,1,14,130,30,35,14,30,8,0,0,0
Nordrhein-Westfalen,1,1,21,97,19,26,14,8,1,3,0,0
Rheinland-Pfalz,0,0,8,44,8,6,10,8,2,1,0,0
Saarland,0,0,4,4,0,0,3,0,0,0,0,0
Sachsen,0,0,5,55,1,5,1,5,0,0,0,0
Sachsen-Anhalt,0,0,16,65,9,24,6,15,2,0,1,0
Schleswig-Holstein,0,0,3,11,6,2,4,8,1,0,0,0
Thueringen,0,0,0,22,1,3,0,0,0,0,0,0
Frueheres Bundesgebiet,4,5,77,455,84,100,68,89,15,6,0,0
Neue Laender,1,1,51,471,50,128,48,77,16,1,1,0
Deutschland,5,6,128,926,134,228,116,166,31,7,1,0
